,0
2873,3
2874,3
2875,3
2876,5
2877,4
2878,5
2879,4
2880,5
2881,4
2882,1
2883,3
2884,4
2885,5
2886,5
2887,5
2888,4
2889,2
2890,1
2891,5
2892,4
2893,5
2894,5
2895,1
2896,3
2897,1
2898,3
2899,3
2900,1
2901,1
2902,4
2903,5
2904,3
2905,3
2906,4
2907,5
2908,4
2909,5
2910,5
2911,4
2912,5
2913,5
2914,1
2915,3
2916,1
2917,4
2918,5
2919,1
2920,4
2921,4
2922,5
2923,1
2924,5
2925,4
2926,1
2927,5
2928,1
2929,1
2930,1
2931,4
2932,4
2933,6
2934,5
2935,1
2936,4
2937,5
2938,1
2939,2
2940,3
2941,1
2942,0
2943,1
2944,4
2945,0
2946,4
2947,5
2948,6
2949,6
2950,4
2951,5
2952,5
2953,6
2954,4
2955,1
2956,0
2957,5
2958,4
2959,0
2960,5
2961,0
2962,6
2963,0
2964,3
2965,5
2966,6
2967,4
2968,4
2969,3
2970,4
2971,1
2972,4
2973,5
2974,3
2975,5
2976,5
2977,4
2978,5
2979,5
2980,6
2981,4
2982,3
2983,4
2984,5
2985,4
2986,5
2987,1
2988,6
2989,3
2990,6
2991,1
2992,6
2993,1
2994,5
2995,1
